group,bin,weighted_gap,abs_weighted_gap,target_gap,abs_target_gap,local_ess,estimated_target_mass,source_n,target_n,ci_half_width,certified_excess,naive_alarm,certified_alarm,matches_target_direction
workclass=Federal-gov,"[0.83, 1.00]",-0.3456149974761566,0.3456149974761566,-0.0004657902480425253,0.0004657902480425253,10.648060763939448,0.009456616306784493,38,82,0.6118515718738831,0.0,True,False,True
education=HS-grad,"[0.67, 0.83]",-0.3056104784462951,0.3056104784462951,-0.1593029620772778,0.1593029620772778,26.70699950612259,0.008482330923919331,40,71,0.38633921346040856,0.0,True,False,True
age>50 & hours>45,"[0.50, 0.67]",-0.24690418088378885,0.24690418088378885,-0.13824964745429835,0.13824964745429835,19.959175676242598,0.015478699372202802,38,123,0.4468996763366779,0.0,True,False,True
age>60,"[0.50, 0.67]",-0.24377454836173654,0.24377454836173654,-0.16368827281181209,0.16368827281181209,18.488326993714736,0.014220218328074586,41,125,0.4643361901050684,0.0,True,False,True
age>60,"[0.83, 1.00]",-0.21992739963904126,0.21992739963904126,-0.0903371164251569,0.0903371164251569,35.39572363292433,0.023657690906850472,62,158,0.33558762899553873,0.0,True,False,True
hours>55,"[0.67, 0.83]",-0.20017921303444208,0.20017921303444208,-0.14046730152128906,0.14046730152128906,57.44589600796585,0.02688907713205673,79,222,0.2634218749840071,0.0,True,False,True
age>60,"[0.67, 0.83]",-0.18363509046135568,0.18363509046135568,-0.2979679146008013,0.2979679146008013,28.01983489900497,0.015056218920389247,43,91,0.37717991170908877,0.0,True,False,True
hours>55,"[0.50, 0.67]",-0.16859756052272046,0.16859756052272046,-0.07383230194641448,0.07383230194641448,46.54932966439775,0.026723559935896552,87,206,0.29263389297008874,0.0,True,False,True
Female & education-num>=13,"[0.17, 0.33]",0.1675038035149351,0.1675038035149351,0.0013638622855933244,0.0013638622855933244,47.18783933993164,0.010897242796146083,64,151,0.2906473010443836,0.0,True,False,True
age>60,"[0.33, 0.50]",-0.16252811914488863,0.16252811914488863,-0.1895038647327193,0.1895038647327193,49.32549201814816,0.016537490046394855,63,135,0.28427955536356175,0.0,True,False,True
sex=Female,"[0.67, 0.83]",-0.1488116825647419,0.1488116825647419,-0.03553468106546465,0.03553468106546465,35.362702845870245,0.008779220784064918,63,103,0.3357442740067533,0.0,True,False,True
age>50 & hours>45,"[0.83, 1.00]",-0.1424966578409899,0.1424966578409899,-0.05579046368637015,0.05579046368637015,45.58273548034315,0.02990743035497425,73,209,0.2957203070048928,0.0,True,False,True
age>50 & hours>45,"[0.33, 0.50]",-0.1387505193222505,0.1387505193222505,-0.0068255705276878305,0.0068255705276878305,42.57540234642537,0.017235227386123916,52,95,0.30598628445939463,0.0,True,False,True
age>50,"[0.50, 0.67]",-0.13755114404627108,0.13755114404627108,-0.08754849691558485,0.08754849691558485,67.79506525794201,0.03342567134146921,121,370,0.24248355971143776,0.0,True,False,True
workclass=Self-emp-not-inc,"[0.33, 0.50]",-0.13409962614245605,0.13409962614245605,-0.063713725850609,0.063713725850609,41.49934312984029,0.013505616344832511,57,163,0.3099279396956576,0.0,True,False,True
age>50 & hours>45,"[0.67, 0.83]",-0.13392912706293011,0.13392912706293011,-0.042441002768653334,0.042441002768653334,32.137385841507395,0.01720912456824102,44,109,0.3521892267402677,0.0,True,False,True
age>50 & hours>45,"[0.00, 0.17]",0.13202781480644815,0.13202781480644815,0.05595232335555698,0.05595232335555698,30.7449453618187,0.012902286041369301,46,131,0.3600762505800168,0.0,True,False,True
education=Masters,"[0.83, 1.00]",-0.12407755421647161,0.12407755421647161,-0.0022234006350848475,0.0022234006350848475,41.97435793457301,0.022910832052308212,93,241,0.3081692558713138,0.0,True,False,True
education=Masters,"[0.67, 0.83]",-0.12331934470563423,0.12331934470563423,-0.040181594963998715,0.040181594963998715,86.09355002876467,0.023418645238961328,113,247,0.21517709124224563,0.0,True,False,True
hours>55,"[0.83, 1.00]",-0.11663834695141274,0.11663834695141274,-0.08027767762252891,0.08027767762252891,61.45539121696075,0.034879262852419726,107,298,0.25468381498057985,0.0,False,False,True
sex=Female,"[0.17, 0.33]",0.11561994662447671,0.11561994662447671,-0.004798697313480917,0.004798697313480917,118.36159908620293,0.021266747085814868,181,290,0.18351684257276038,0.0,False,False,False
age>50,"[0.83, 1.00]",-0.11123193027932064,0.11123193027932064,-0.041290326139589766,0.041290326139589766,108.06012786727315,0.05279819712252867,175,440,0.1920651642274475,0.0,False,False,True
workclass=Self-emp-not-inc,"[0.83, 1.00]",-0.10846083231532401,0.10846083231532401,-0.077524337358062,0.077524337358062,27.897204665103718,0.01186567527024219,44,116,0.378008004387679,0.0,False,False,True
workclass=Self-emp-not-inc,"[0.50, 0.67]",-0.10723446497552923,0.10723446497552923,-0.08010050681181376,0.08010050681181376,30.349651175640567,0.01057960205261516,44,112,0.36241360153552993,0.0,False,False,True
education=Some-college,"[0.67, 0.83]",-0.1061610161140671,0.1061610161140671,-0.10055386072627245,0.10055386072627245,54.99627455559646,0.014748774158644014,73,110,0.2692245779397759,0.0,False,False,True
age>50,"[0.67, 0.83]",-0.10128060708860208,0.10128060708860208,-0.0974093355543934,0.0974093355543934,99.33213448742266,0.038978452304093976,134,293,0.20032560202431454,0.0,False,False,True
Male & hours>45,"[0.50, 0.67]",-0.09939642364356482,0.09939642364356482,-0.0261072285841573,0.0261072285841573,98.7103321067399,0.042544693742926354,180,435,0.20095556337350576,0.0,False,False,True
hours>45,"[0.50, 0.67]",-0.09907448362395446,0.09907448362395446,-0.03273483636575363,0.03273483636575363,104.01928984886504,0.04413226676583789,188,460,0.19576019919707985,0.0,False,False,True
education=Masters,"[0.17, 0.33]",0.09514020242058706,0.09514020242058706,-0.0016479546758032472,0.0016479546758032472,54.27505503298638,0.011379553501747191,67,136,0.2710074340591074,0.0,False,False,False
hours>45,"[0.67, 0.83]",-0.09429935042286165,0.09429935042286165,-0.05297831900411716,0.05297831900411716,151.0663837788603,0.052863755050710975,210,498,0.16244166186095174,0.0,False,False,True
age<=50,"[0.33, 0.50]",0.09198584327559337,0.09198584327559337,0.0424871840690116,0.0424871840690116,390.48287756494346,0.06332670629142163,499,878,0.10103697681240004,0.0,False,False,True
education=Some-college,"[0.50, 0.67]",-0.08544734120400292,0.08544734120400292,-0.0606312282350075,0.0606312282350075,78.73726596821669,0.018311691104946702,114,248,0.22500448514888757,0.0,False,False,True
education=Masters,"[0.00, 0.17]",0.08432395951951865,0.08432395951951865,-0.009444941094040687,0.009444941094040687,74.17053682274036,0.010227371492791858,101,122,0.23182786164370242,0.0,False,False,False
Male & hours>45,"[0.67, 0.83]",-0.08319344116642348,0.08319344116642348,-0.04779261417596943,0.04779261417596943,144.04101354862587,0.04957870312061789,195,463,0.16635591837073982,0.0,False,False,True
race=Black,"[0.17, 0.33]",0.08253941589657478,0.08253941589657478,0.07214178172830027,0.07214178172830027,62.912237223698455,0.010965557958784313,78,128,0.25171771213784283,0.0,False,False,True
education=HS-grad,"[0.50, 0.67]",-0.08027509419670852,0.08027509419670852,0.00681956893543785,0.00681956893543785,36.88118102543769,0.020853488965292426,91,195,0.32875996883991393,0.0,False,False,False
Male & education-num>=13,"[0.83, 1.00]",-0.08009224059794241,0.08009224059794241,-0.01601443653262412,0.01601443653262412,203.6602317931369,0.07739196812894085,328,790,0.13990338537038166,0.0,False,False,True
education-num>=13,"[0.83, 1.00]",-0.07792414263651906,0.07792414263651906,-0.02067335228452082,0.02067335228452082,229.9960048037483,0.08470871744859924,373,888,0.13165010034385127,0.0,False,False,True
sex=Female,"[0.33, 0.50]",-0.07491438379619372,0.07491438379619372,-0.05514070462180192,0.05514070462180192,68.79358351170927,0.012890891298922942,106,118,0.24071733913420204,0.0,False,False,True
education=Bachelors,"[0.83, 1.00]",-0.07413676781795812,0.07413676781795812,-0.02045294555200098,0.02045294555200098,103.99170667102477,0.03384276076619871,150,375,0.19578615958637466,0.0,False,False,True
age>50,"[0.33, 0.50]",-0.07253126584928316,0.07253126584928316,-0.015149049571543874,0.015149049571543874,169.30730858509955,0.04798169705350331,207,427,0.15344173040865353,0.0,False,False,True
education-num>=13,"[0.17, 0.33]",0.0705420172071769,0.0705420172071769,0.017225467136094293,0.017225467136094293,172.0012850828601,0.0352315229651309,221,440,0.1522353446076013,0.0,False,False,True
Male & hours>45,"[0.83, 1.00]",-0.06991998673534214,0.06991998673534214,-0.024538327652707165,0.024538327652707165,146.8412105410342,0.06403390406875635,243,566,0.16476211660003753,0.0,False,False,True
age>40,"[0.83, 1.00]",-0.06794098824049985,0.06794098824049985,-0.019205178593083898,0.019205178593083898,225.82688128450062,0.08705244146764136,351,838,0.1328597778879853,0.0,False,False,True
hours>45,"[0.83, 1.00]",-0.06755030412500265,0.06755030412500265,-0.02878816248485316,0.02878816248485316,163.85589538404096,0.06885922619456258,269,612,0.15597331577368886,0.0,False,False,True
age>40,"[0.67, 0.83]",-0.06179468279142685,0.06179468279142685,-0.044951604432533106,0.044951604432533106,244.08737876036716,0.07677537272313563,328,670,0.1277934746917885,0.0,False,False,True
race=White,"[0.83, 1.00]",-0.05968041342736816,0.05968041342736816,-0.013883575178008173,0.013883575178008173,284.86247814273196,0.0998141682058871,471,1024,0.11829427215280361,0.0,False,False,True
sex=Male,"[0.83, 1.00]",-0.059011762953328634,0.059011762953328634,-0.011397453847875197,0.011397453847875197,272.5941600300806,0.0978076482255504,439,993,0.12092694094712451,0.0,False,False,True
Female & hours>45,"[0.00, 0.17]",0.058318167917091414,0.058318167917091414,0.035609352550680776,0.035609352550680776,118.32295195612899,0.027886833979666244,217,345,0.18354681063950404,0.0,False,False,True
workclass=Self-emp-not-inc,"[0.67, 0.83]",0.05607742153553482,0.05607742153553482,-0.06781790370480259,0.06781790370480259,15.5932907339405,0.008027591961720598,35,75,0.5056062715997779,0.0,False,False,False
age>30,"[0.67, 0.83]",-0.05602222697466367,0.05602222697466367,-0.03694368657451318,0.03694368657451318,329.9875574384833,0.09489792306866708,457,956,0.10990882328026379,0.0,False,False,True
hours>35,"[0.67, 0.83]",-0.05598638900238751,0.05598638900238751,-0.031548874912038824,0.031548874912038824,324.56805199445154,0.09371411994530435,454,973,0.11082263091007208,0.0,False,False,True
hours>35,"[0.83, 1.00]",-0.05571930439202775,0.05571930439202775,-0.01326381101049232,0.01326381101049232,290.5416189636023,0.10277115507362264,468,1061,0.1171324330374066,0.0,False,False,True
age<=50,"[0.17, 0.33]",0.05549596009903036,0.05549596009903036,0.04370355154163024,0.04370355154163024,770.3443436697504,0.11029129549150027,971,1348,0.07193477531887257,0.0,False,False,True
Male & education-num>=13,"[0.33, 0.50]",0.05462205639962071,0.05462205639962071,0.03557139837971319,0.03557139837971319,91.67816951941397,0.02295215316217561,132,253,0.20852031570466123,0.0,False,False,True
age<=60,"[0.33, 0.50]",0.05310484232603422,0.05310484232603422,0.04822061981577782,0.04822061981577782,490.1649096491027,0.09477091329853009,643,1170,0.09018000017435268,0.0,False,False,True
age>30,"[0.83, 1.00]",-0.05229432148134723,0.05229432148134723,-0.0174510508291068,0.0174510508291068,296.0007475346234,0.10446321809760944,473,1080,0.11604727224342597,0.0,False,False,True
race=White,"[0.67, 0.83]",-0.05211294177507172,0.05211294177507172,-0.036015775211172364,0.036015775211172364,315.64050934120723,0.09001866194803478,441,927,0.11237895070969159,0.0,False,False,True
sex=Male,"[0.67, 0.83]",-0.04940372835964182,0.04940372835964182,-0.04316931538531362,0.04316931538531362,315.83853646835036,0.09024964263989624,429,909,0.11234371503141373,0.0,False,False,True
workclass=Private,"[0.67, 0.83]",-0.04697937120540843,0.04697937120540843,-0.016540301024228477,0.016540301024228477,219.98726606478598,0.05571548342320932,283,581,0.13461162570661875,0.0,False,False,True
age<=40,"[0.67, 0.83]",-0.045871888420751676,0.045871888420751676,-0.03737837679881801,0.03737837679881801,129.6697799164449,0.022253490700825513,164,342,0.17533230958265864,0.0,False,False,True
age<=30,"[0.17, 0.33]",-0.04515218885779458,0.04515218885779458,-0.04580198303587845,0.04580198303587845,205.85317258570652,0.01772716462511027,239,225,0.1391561991645788,0.0,False,False,True
hours>45,"[0.00, 0.17]",0.04501659767011247,0.04501659767011247,0.02956128236842797,0.02956128236842797,377.53827517331365,0.07416666809072986,583,995,0.10275449916916668,0.0,False,False,True
workclass=Private,"[0.17, 0.33]",0.044882290853166126,0.044882290853166126,0.0405402735077676,0.0405402735077676,646.9175339591152,0.1067415790388741,838,1288,0.07849769047731672,0.0,False,False,True
age>30,"[0.17, 0.33]",0.0439731119916639,0.0439731119916639,0.04191852168409064,0.04191852168409064,765.0131948683213,0.14448793629486642,971,1749,0.07218498616235455,0.0,False,False,True
workclass=Self-emp-not-inc,"[0.00, 0.17]",0.043334452530093805,0.043334452530093805,0.05314243811530542,0.05314243811530542,180.51656468139643,0.03874422720875111,329,478,0.1486013690152831,0.0,False,False,True
age<=60,"[0.17, 0.33]",0.04216715358277867,0.04216715358277867,0.04565858728213023,0.04565858728213023,874.1248963270613,0.1442382514211288,1134,1746,0.06752966505357356,0.0,False,False,True
race=Asian-Pac-Islander,"[0.00, 0.17]",0.04200089393313722,0.04200089393313722,0.043396569570011055,0.043396569570011055,100.10685895211272,0.012495663608135353,161,152,0.19954893906311064,0.0,False,False,True
age<=40,"[0.33, 0.50]",0.04151093144599373,0.04151093144599373,0.022236359622381605,0.022236359622381605,254.61367443031855,0.03272915692437239,312,461,0.1251239592910548,0.0,False,False,True
education=Bachelors,"[0.17, 0.33]",0.04032482307512922,0.04032482307512922,0.009369776945091002,0.009369776945091002,109.51516213022434,0.02270943350799696,142,262,0.1907849951239708,0.0,False,False,True
education=Some-college,"[0.33, 0.50]",0.03961518577264601,0.03961518577264601,0.04923322901378698,0.04923322901378698,157.29542159770946,0.02669677504843115,201,397,0.1591927553199958,0.0,False,False,True
hours>35,"[0.17, 0.33]",0.03949359605074787,0.03949359605074787,0.04164926171642579,0.04164926171642579,822.3458858556443,0.14911292004722362,1077,1755,0.06962321573892175,0.0,False,False,True
